"Tiedot";"Vuosi";"Alue";"Puolue";"Yhteensä";"Miehet";"Naiset"
"Ehdokkaiden lukumäärä";"2021";"583 Pelkosenniemi";"Yhteensä";23;16;7
"Ehdokkaiden lukumäärä";"2021";"614 Posio";"Yhteensä";38;21;17
"Ehdokkaiden lukumäärä";"2021";"683 Ranua";"Yhteensä";63;40;23
"Ehdokkaiden lukumäärä";"2021";"732 Salla";"Yhteensä";48;28;20
"Ehdokkaiden lukumäärä";"2021";"742 Savukoski";"Yhteensä";32;20;12
"Ehdokkaiden lukumäärä";"2021";"751 Simo";"Yhteensä";36;22;14
"Ehdokkaiden lukumäärä";"2021";"845 Tervola";"Yhteensä";49;35;14
"Ehdokkaiden lukumäärä";"2021";"854 Pello";"Yhteensä";45;25;20
"Ehdokkaiden lukumäärä";"2021";"890 Utsjoki";"Yhteensä";46;32;14
"Ehdokkaiden lukumäärä";"2021";"976 Ylitornio";"Yhteensä";56;30;26
